Reference, Value, Footprint, Datasheet, Dielectric, Manufacturer, PartNum, Tolerance, Voltage, Power
"P1","CONN_01X08","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical",""
"P2","CONN_01X08","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical",""
"C1","10uF","local:C_1206_HandSoldering","","X5R","TDK","C3216X5R1E106K160AB","10%","25V",""
"C2","0.1uF","local:C_0805_HandSoldering","","X7R","Kemet","C0805C104K5RACTU","10%","50V",""
"C11","10uF","local:C_1206_HandSoldering","","X5R","TDK","C3216X5R1E106K160AB","10%","25V",""
"C12","0.1uF","local:C_0805_HandSoldering","","X7R","Kemet","C0805C104K5RACTU","10%","50V",""
"R1","5.11K","local:R_0805_HandSoldering","","","Vishay Dale","CRCW08055K11FKEA","1%","","0.125W"
"U9","TLC59282_REV","local:SSOP-24_3.9x8.65mm_Pitch0.635mm","","","Texas Instruments","TLC59282DBQ","","",""
"U8","TLC59282_REV","local:SSOP-24_3.9x8.65mm_Pitch0.635mm","","","Texas Instruments","TLC59282DBQ","","",""
"U7","TLC59282_REV","local:SSOP-24_3.9x8.65mm_Pitch0.635mm","","","Texas Instruments","TLC59282DBQ","","",""
"U6","TLC59282_REV","local:SSOP-24_3.9x8.65mm_Pitch0.635mm","","","Texas Instruments","TLC59282DBQ","","",""
"U5","TLC59282_REV","local:SSOP-24_3.9x8.65mm_Pitch0.635mm","","","Texas Instruments","TLC59282DBQ","","",""
"U4","TLC59282_REV","local:SSOP-24_3.9x8.65mm_Pitch0.635mm","","","Texas Instruments","TLC59282DBQ","","",""
"U3","TLC59282_REV","local:SSOP-24_3.9x8.65mm_Pitch0.635mm","","","Texas Instruments","TLC59282DBQ","","",""
"U2","TLC59282_REV","local:SSOP-24_3.9x8.65mm_Pitch0.635mm","","","Texas Instruments","TLC59282DBQ","","",""
"U1","TLC59282_REV","local:SSOP-24_3.9x8.65mm_Pitch0.635mm","","","Texas Instruments","TLC59282DBQ","","",""
"R2","5.11K","local:R_0805_HandSoldering","","","Vishay Dale","CRCW08055K11FKEA","1%","","0.125W"
"R3","5.11K","local:R_0805_HandSoldering","","","Vishay Dale","CRCW08055K11FKEA","1%","","0.125W"
"R4","5.11K","local:R_0805_HandSoldering","","","Vishay Dale","CRCW08055K11FKEA","1%","","0.125W"
"R5","5.11K","local:R_0805_HandSoldering","","","Vishay Dale","CRCW08055K11FKEA","1%","","0.125W"
"R6","5.11K","local:R_0805_HandSoldering","","","Vishay Dale","CRCW08055K11FKEA","1%","","0.125W"
"R7","5.11K","local:R_0805_HandSoldering","","","Vishay Dale","CRCW08055K11FKEA","1%","","0.125W"
"R8","5.11K","local:R_0805_HandSoldering","","","Vishay Dale","CRCW08055K11FKEA","1%","","0.125W"
"R9","5.11K","local:R_0805_HandSoldering","","","Vishay Dale","CRCW08055K11FKEA","1%","","0.125W"
"DS3","PSA08-11SRWA","local:PSA08-11SRWA","","","Kingbright","PSA08-11SRWA","","",""
"DS4","PSA08-11SRWA","local:PSA08-11SRWA","","","Kingbright","PSA08-11SRWA","","",""
"DS7","PSA08-11SRWA","local:PSA08-11SRWA","","","Kingbright","PSA08-11SRWA","","",""
"DS5","PSA08-11SRWA","local:PSA08-11SRWA","","","Kingbright","PSA08-11SRWA","","",""
"DS6","PSA08-11SRWA","local:PSA08-11SRWA","","","Kingbright","PSA08-11SRWA","","",""
"DS8","PSA08-11SRWA","local:PSA08-11SRWA","","","Kingbright","PSA08-11SRWA","","",""
"DS2","PSA08-11SRWA","local:PSA08-11SRWA","","","Kingbright","PSA08-11SRWA","","",""
"DS1","PSA08-11SRWA","local:PSA08-11SRWA","","","Kingbright","PSA08-11SRWA","","",""
"C3","0.1uF","local:C_0805_HandSoldering","","X7R","Kemet","C0805C104K5RACTU","10%","50V",""
"C4","0.1uF","local:C_0805_HandSoldering","","X7R","Kemet","C0805C104K5RACTU","10%","50V",""
"C5","0.1uF","local:C_0805_HandSoldering","","X7R","Kemet","C0805C104K5RACTU","10%","50V",""
"C6","0.1uF","local:C_0805_HandSoldering","","X7R","Kemet","C0805C104K5RACTU","10%","50V",""
"C7","0.1uF","local:C_0805_HandSoldering","","X7R","Kemet","C0805C104K5RACTU","10%","50V",""
"C8","0.1uF","local:C_0805_HandSoldering","","X7R","Kemet","C0805C104K5RACTU","10%","50V",""
"C9","0.1uF","local:C_0805_HandSoldering","","X7R","Kemet","C0805C104K5RACTU","10%","50V",""
"C13","0.1uF","local:C_0805_HandSoldering","","X7R","Kemet","C0805C104K5RACTU","10%","50V",""
"C14","0.1uF","local:C_0805_HandSoldering","","X7R","Kemet","C0805C104K5RACTU","10%","50V",""
"C15","0.1uF","local:C_0805_HandSoldering","","X7R","Kemet","C0805C104K5RACTU","10%","50V",""
"C16","0.1uF","local:C_0805_HandSoldering","","X7R","Kemet","C0805C104K5RACTU","10%","50V",""
"C17","0.1uF","local:C_0805_HandSoldering","","X7R","Kemet","C0805C104K5RACTU","10%","50V",""
"C18","0.1uF","local:C_0805_HandSoldering","","X7R","Kemet","C0805C104K5RACTU","10%","50V",""
"C19","0.1uF","local:C_0805_HandSoldering","","X7R","Kemet","C0805C104K5RACTU","10%","50V",""
"C20","10uF","local:C_1206_HandSoldering","","X5R","TDK","C3216X5R1E106K160AB","10%","25V",""
"C10","10uF","local:C_1206_HandSoldering","","X5R","TDK","C3216X5R1E106K160AB","10%","25V",""
