"Reference","Value","Datasheet","Footprint","Qty","DNP","Current","Dielectric","Frequency","Manufacturer","PartNum","Power","Tolerance","Voltage"
"A201","CX210_Cover","","Local:CX210_Cover","1","","","","","Custom","PN","","",""
"A401","Microzed","","Local:Microzed_RevF","1","","","","","Avnet","AES-Z7MB-7Z010-G","","",""
"BT601","CR2032","","Local:Battery_Holder_2032_BK-5058","1","","","","","Memory Protection Devices","BK-5058","","","3.0V"
"C201,C202,C203,C204,C205,C208,C213,C214,C216,C219,C303,C401,C507,C508,C509,C510,C511,C512,C601,C602,C603","0.1uF","","Local:C_0805_HandSoldering","21","","","X7R","","Kemet","C0805C104K5RACTU","","10%","50V"
"C206,C207,C217","0.1uF","","Local:C_0805_HandSoldering","3","DNP","","X7R","","Kemet","C0805C104K5RACTU","","10%","50V"
"C209","22uF","","Local:C_1206_3216Metric_Pad2.00x1.60mm_HandSolder","1","DNP","","X5R","","TDK","C3216X5R1A226M160AC","","20%","10V"
"C210","470pF","","Local:C_0805_HandSoldering","1","","","C0G","","Kemet","C0805C471J5GACTU","","5%","50V"
"C211","10pF","","Local:C_0805_HandSoldering","1","","","C0G","","Kemet","C0805C100J5GACTU","","5%","50V"
"C212,C519,C520,C521,C522,C523,C524","22uF","","Local:C_1206_3216Metric_Pad2.00x1.60mm_HandSolder","7","","","X5R","","TDK","C3216X5R1A226M160AC","","20%","10V"
"C215,C218,C301,C302,C501,C502,C503,C504,C505,C506","10uF","","Local:C_1206_3216Metric_Pad2.00x1.60mm_HandSolder","10","","","X5R","","TDK","C3216X5R1E106K160AB","","10%","25V"
"C402,C516,C517,C518","47pF","","Local:C_0805_HandSoldering","4","","","C0G","","Kemet","C0805C470J5GACTU","","5%","50V"
"C513,C514,C515","0.47uF","","Local:C_0805_HandSoldering","3","","","X7R","","Kemet","C0805C474K5RACTU","","10%","50V"
"D201,D301,D501,D502","GREEN","","Local:LED_0805_HandSoldering","4","","","","","Lite-On","LIST-C171GKT","","",""
"D401","MM3Z3V3T1G","","Local:SOD-323_477-02-H_HandSoldering","1","","","","","ON Semiconductor","MM3Z3V3T1G","300mW","","3.3V"
"FB201,FB301","60@100MHz","~","Local:R_0805_2012Metric_Pad1.50x1.30mm_HandSolder","2","","3A","","","Pulse Electronics","PE-0805PFB600ST","","25%",""
"HS201","TO220_heatsink","","Local:Heatsink_581x","1","","","","","Aavid","581002B02500G","","",""
"JP501,JP502","Jumper_NO_Small","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","2","","","","","","","","",""
"L501","3.3uH","","Local:Choke_SMD_7.1x6.5_H3.0_HandSoldering","1","","6.2A","","","TDK","SPM6530T-3R3M","","",""
