"Reference","Value","Datasheet","Footprint","Qty","DNP","Current","Dielectric","Frequency","Manufacturer","PartNum","Power","Tolerance","Voltage"
"D101","RED","","Local:LED_0805_HandSoldering","1","","","","","Lite-On","LIST-C171CKT","","",""
"D102,D103","GREEN","","Local:LED_0805_HandSoldering","2","","","","","Lite-On","LIST-C171GKT","","",""
"P101,P103","CONN_01X08","","Local:Pin_Header_1x08_square","2","","","","","","","","",""
"P102","XG4C-1631","","Local:XG4C-1631","1","","","","","Omron Electronics","XG4C-1631","","",""
"R101,R102,R103,R104,R105,R106,R110,R111","210R","","Local:R_0805_HandSoldering","8","","","","","Vishay Dale","CRCW0805210RFKEA","0.125W","1%",""
"R107,R108","210R","","Local:R_0805_HandSoldering","2","DNP","","","","Vishay Dale","CRCW0805210RFKEA","0.125W","1%",""
"R109,R113,R114","1K","","Local:R_0805_HandSoldering","3","","","","","Vishay Dale","CRCW08051K00FKEA","0.125W","1%",""
"R112","536","","Local:R_0805_HandSoldering","1","","","","","Vishay Dale","CRCW0805536RFKEA","0.125W","1%",""
"SW101","SW_PUSH","","Local:7914J_HandSoldering","1","","","","","Bourns","7914J-1-050","","",""
"W101,W102","TestPoint","","Local:wire_90x40mil","2","","","","","","","","",""
